Target_Code,Date,Close,DeltaX,PTR_Calc,Open,High,Low,Turnover,PTR,Main_Pct,Dare_Pct,Flow_5d,ASR,CYS34,LFS,D_Pos,X90,X70,Y_Overlap,Z_Profit,HCCYF13
300655,20260113,18.14,2.85,-0.58,19.0,19.36,18.06,10.52,14.81,-0.602,-0.232,2.72,90.569,-0.172,36.322,47.67,9.84,6.99,71.01,43.76,70.61
300655,20260114,18.45,3.09,0.09,18.04,19.08,18.04,9.52,13.4,0.465,0.197,-1.74,89.329,1.484,37.769,47.97,9.58,6.49,67.74,48.2,69.85
300655,20260115,19.62,3.29,0.86,18.21,19.8,18.19,17.27,24.32,1.808,0.219,4.3,72.319,7.0,33.543,49.61,9.23,5.94,64.34,91.09,73.11
300655,20260116,19.48,3.96,-0.22,19.75,20.08,19.2,12.95,18.23,-0.527,-0.155,2.94,78.697,5.073,33.824,49.09,8.69,4.73,54.41,80.14,73.42
300655,20260119,19.17,4.06,-0.33,19.51,19.74,19.03,17.0,10.09,-0.338,-0.066,2.38,85.121,3.006,37.717,48.68,8.56,4.5,52.61,64.17,71.02
300655,20260120,18.96,4.14,-0.22,19.09,19.18,18.53,8.09,11.39,0.065,-0.075,5.07,89.123,1.648,39.887,48.52,8.29,4.15,50.07,53.3,69.48
300655,20260121,20.3,5.27,0.82,18.72,21.16,18.38,17.09,24.07,1.514,0.174,7.35,79.21,7.793,35.015,49.99,9.56,4.29,44.91,94.44,72.77
300655,20260122,18.48,5.16,-1.49,19.53,19.7,18.37,16.98,23.91,-2.489,-0.359,-5.67,92.531,-2.056,32.386,47.87,8.82,3.66,41.46,22.95,75.02
300655,20260123,19.16,4.78,0.77,18.62,19.48,18.45,12.57,17.7,1.677,0.098,0.97,93.319,1.53,33.466,48.38,8.04,3.26,40.59,60.1,74.69
300655,20260126,18.05,4.22,-1.0,18.94,19.05,17.75,10.63,14.98,-1.891,-0.2,-3.26,90.67,-4.105,35.381,46.92,7.62,3.4,44.59,13.22,73.6
300655,20260127,18.08,3.21,0.11,17.86,18.12,17.48,6.31,8.89,0.1,-0.049,-3.23,91.622,-3.606,39.537,47.12,7.17,3.96,55.24,18.22,70.79
300655,20260128,18.41,2.89,0.26,18.14,18.44,17.89,7.31,10.29,0.373,0.101,-8.49,95.047,-1.617,41.859,47.56,7.04,4.15,58.9,30.5,68.91
300655,20260129,17.56,2.45,-0.48,18.16,18.22,17.52,6.41,9.03,-0.756,-0.158,-2.66,77.288,-5.813,44.196,47.09,6.75,4.3,63.79,7.88,66.9
300655,20260130,17.57,3.16,0.1,17.46,17.69,16.87,5.33,7.51,-0.022,0.002,-13.74,78.952,-5.369,46.777,46.95,7.7,4.54,59.01,12.35,64.62
300655,20260202,16.9,2.72,-0.19,17.37,17.55,16.89,4.05,5.7,-0.381,-0.049,-5.58,47.572,-8.607,49.853,46.79,7.77,5.05,65.0,3.24,61.95
300655,20260203,17.48,2.41,0.29,17.18,17.48,17.08,4.16,5.86,0.506,0.048,-2.35,77.244,-5.143,52.026,46.91,7.77,5.36,68.99,16.63,59.7
300655,20260204,17.22,2.09,-0.11,17.32,17.39,16.96,3.3,4.64,-0.364,-0.043,-11.32,65.929,-6.293,54.561,46.75,7.61,5.52,72.53,11.49,57.19
300655,20260205,16.71,2.2,-0.19,17.02,17.08,16.6,3.77,5.31,-0.432,-0.045,-7.86,46.235,-8.682,55.866,46.43,8.07,5.87,72.75,2.72,55.3
300655,20260206,16.63,2.39,0.0,16.55,16.9,16.5,2.49,3.5,-0.07,0.017,-10.11,45.307,-8.824,58.393,46.44,8.4,6.01,71.49,2.79,52.76
300655,20260209,17.16,2.23,0.31,16.99,17.27,16.91,3.46,4.88,0.206,0.014,-1.89,66.391,-5.623,58.933,46.57,8.25,6.02,73.04,17.12,51.2
300655,20260210,17.16,2.4,0.01,17.09,17.5,17.06,3.66,5.16,-0.277,0.012,-12.67,67.671,-5.334,58.919,46.69,8.27,5.87,70.99,17.43,49.98
300655,20260211,17.07,2.2,-0.08,17.03,17.39,16.98,2.42,3.41,0.031,0.012,-7.2,64.818,-5.633,60.611,46.78,8.09,5.89,72.76,13.79,47.97
300655,20260212,17.21,2.38,0.17,17.13,17.28,17.07,2.99,4.21,0.052,0.034,0.45,71.395,-4.645,60.915,46.96,8.12,5.74,70.68,21.89,46.63
300655,20260213,17.57,2.35,0.31,17.29,17.85,17.28,5.9,8.32,0.382,0.094,6.63,85.406,-2.358,56.486,47.43,7.94,5.59,70.34,36.57,47.78
300655,20260224,17.72,2.36,0.1,17.75,18.07,17.32,5.93,8.34,0.08,0.078,5.1,90.142,-1.4,53.308,47.58,7.81,5.45,69.78,41.36,48.77
300655,20260225,18.29,2.31,0.39,17.68,18.32,17.47,7.26,10.22,0.527,0.107,12.12,97.082,1.764,49.352,47.74,7.66,5.35,69.81,60.09,50.64
